palette.name,palette.type,color.id,C,M,Y,K,hex,R,G,B
Jasminium polyanthum B,Continuous,JasminiumB01,2,0,0,11,#dde2e6,221,226,230
Jasminium polyanthum B,Continuous,JasminiumB02,0,4,0,11,#e3dce0,227,220,224
Jasminium polyanthum B,Continuous,JasminiumB03,0,20,0,8,#e7c5d5,231,197,213
Jasminium polyanthum B,Continuous,JasminiumB04,0,32,0,0,#f8bdd7,248,189,215
Jasminium polyanthum B,Continuous,JasminiumB05,14,78,10,0,#d35c95,211,92,149
Jasminium polyanthum B,Continuous,JasminiumB06,28,97,40,6,#af2963,175,41,99
Jasminium polyanthum B,Continuous,JasminiumB07,31,100,68,34,#821434,130,20,52
Jasminium polyanthum B,Continuous,JasminiumB08,45,89,69,67,#45101b,69,16,27
Jasminium polyanthum B,Continuous,JasminiumB09,60,75,64,82,#230c11,35,12,17
Jasminium polyanthum A,Continuous,Jasminium01,2,0,0,0,#f7fcfe,247,252,254
Jasminium polyanthum A,Continuous,Jasminium02,0,4,0,0,#fef5f9,254,245,249
Jasminium polyanthum A,Continuous,Jasminium03,0,20,0,0,#fad5e5,250,213,229
Jasminium polyanthum A,Continuous,Jasminium04,0,32,0,0,#f8bdd7,248,189,215
Jasminium polyanthum A,Continuous,Jasminium05,14,78,10,0,#d35c95,211,92,149
Jasminium polyanthum A,Continuous,Jasminium06,28,97,40,6,#af2963,175,41,99
Jasminium polyanthum A,Continuous,Jasminium07,31,100,68,34,#821434,130,20,52
Jasminium polyanthum A,Continuous,Jasminium08,45,89,69,67,#45101b,69,16,27
Jasminium polyanthum A,Continuous,Jasminium09,60,75,64,82,#230c11,35,12,17
Miniblaze,Discrete,Miniblaze01,15,47,48,0,#d6947f,214,148,127
Miniblaze,Discrete,Miniblaze02,39,16,74,0,#a6b769,166,183,105
Miniblaze,Discrete,Miniblaze03,67,50,50,22,#566466,86,100,102
Miniblaze,Discrete,Miniblaze04,62,38,0,0,#668ec9,102,142,201
Miniblaze,Discrete,Miniblaze05,100,95,36,41,#191e4c,25,30,76
Miniblaze,Discrete,Miniblaze06,44,67,45,16,#875b68,135,91,104
Moonblaze,Discrete,Moonblaze01,17,41,38,0,#d29e92,210,158,146
Moonblaze,Discrete,Moonblaze02,36,79,85,44,#6d3423,109,52,35
Moonblaze,Discrete,Moonblaze03,15,47,48,0,#d6947f,214,148,127
Moonblaze,Discrete,Moonblaze04,2,31,32,0,#f4baa3,244,186,163
Moonblaze,Discrete,Moonblaze05,12,13,43,0,#e1d29e,225,210,158
Moonblaze,Discrete,Moonblaze06,63,55,68,45,#48483d,72,72,61
Moonblaze,Discrete,Moonblaze07,2,0,10,0,#f9fae8,249,250,232
Moonblaze,Discrete,Moonblaze08,39,16,74,0,#a6b769,166,183,105
Moonblaze,Discrete,Moonblaze09,64,48,83,41,#4a5233,74,82,51
Moonblaze,Discrete,Moonblaze10,25,10,28,0,#c1cfbb,193,207,187
Moonblaze,Discrete,Moonblaze11,67,50,50,22,#566466,86,100,102
Moonblaze,Discrete,Moonblaze12,62,38,0,0,#668ec9,102,142,201
Moonblaze,Discrete,Moonblaze13,100,95,36,41,#191e4c,25,30,76
Moonblaze,Discrete,Moonblaze14,44,67,45,16,#875b68,135,91,104
Moonblaze,Discrete,Moonblaze15,69,67,66,77,#1f1b1a,31,27,26
Photinia fraseri A,Continuous,Photinia A 01,62,43,94,32,#57612f,87,97,47
Photinia fraseri A,Continuous,Photinia A 02,34,20,100,0,#b5b335,181,179,53
Photinia fraseri A,Continuous,Photinia A 03,23,9,100,0,#cecc2a,206,204,42
Photinia fraseri A,Continuous,Photinia A 04,4,0,48,0,#f8f39e,248,243,158
Photinia fraseri A,Continuous,Photinia A 05,1,0,16,0,#fdfadd,253,250,221
Photinia fraseri A,Continuous,Photinia A 06,0,41,23,0,#f7a9a8,247,169,168
Photinia fraseri A,Continuous,Photinia A 07,4,62,70,0,#ea7e57,234,126,87
Photinia fraseri A,Continuous,Photinia A 08,13,68,98,2,#d46d2a,212,109,42
Photinia fraseri A,Continuous,Photinia A 09,30,91,99,39,#7c2717,124,39,23
Photinia fraseri B,Continuous,Photinia B 01,62,43,94,32,#57612f,87,97,47
Photinia fraseri B,Continuous,Photinia B 02,34,20,100,0,#b5b335,181,179,53
Photinia fraseri B,Continuous,Photinia B 03,23,9,100,0,#cecc2a,206,204,42
Photinia fraseri B,Continuous,Photinia B 04,4,0,48,0,#f8f39e,248,243,158
Photinia fraseri B,Continuous,Photinia B 05,1,0,16,0,#fdfadd,253,250,221
Photinia fraseri B,Continuous,Photinia B 06,0,15,8,0,#fddedb,253,222,219
Photinia fraseri B,Continuous,Photinia B 07,0,41,23,0,#f7a9a8,247,169,168
Photinia fraseri B,Continuous,Photinia B 08,5,85,70,0,#e54e4d,229,78,77
Photinia fraseri B,Continuous,Photinia B 09,24,99,100,19,#a32122,163,33,34
Strelitzia reginae,Discrete,Strelitzia A 01,49,6,92,0,#90bd4b,144,189,75
Strelitzia reginae,Discrete,Strelitzia A 02,0,52,100,0,#f7901e,247,144,30
Strelitzia reginae,Discrete,Strelitzia A 03,45,25,0,0,#8aaad9,138,170,217
Strelitzia reginae,Discrete,Strelitzia A 04,15,69,36,0,#d36f80,211,111,128
Strelitzia reginae,Discrete,Strelitzia B 01,78,41,84,37,#325939,50,89,57
Strelitzia reginae,Discrete,Strelitzia B 02,12,64,100,1,#d87528,216,117,40
Strelitzia reginae,Discrete,Strelitzia B 03,87,75,37,24,#344365,52,67,101
Strelitzia reginae,Discrete,Strelitzia B 04,27,100,83,28,#90192b,144,25,43
Strelitzia reginae,Discrete,Strelitzia C 01,49,30,48,3,#899987,137,153,135
Strelitzia reginae,Discrete,Strelitzia C 02,20,51,79,4,#c5844b,197,132,75
Strelitzia reginae,Discrete,Strelitzia C 03,68,56,54,32,#4d5356,77,83,86
Strelitzia reginae,Discrete,Strelitzia C 04,46,50,33,4,#907d8c,144,125,140
Iris,Continuous,Iris 01,NA,NA,NA,NA,#B0A1AF,NA,NA,NA
Iris,Continuous,Iris 02,NA,NA,NA,NA,#441F26,NA,NA,NA
Iris,Continuous,Iris 04,NA,NA,NA,NA,#7D56AA,NA,NA,NA
Iris,Continuous,Iris 05,NA,NA,NA,NA,#A176CF,NA,NA,NA
Iris,Continuous,Iris 06,NA,NA,NA,NA,#DF9418,NA,NA,NA
Iris,Continuous,Iris 07,NA,NA,NA,NA,#E5C252,NA,NA,NA
Unnamed,Continuous,Unnamed 01,NA,NA,NA,NA,#B0A1AF,NA,NA,NA
Unnamed,Continuous,Unnamed 02,NA,NA,NA,NA,#371410,NA,NA,NA
Unnamed,Continuous,Unnamed 03,NA,NA,NA,NA,#BD3B26,NA,NA,NA
Unnamed,Continuous,Unnamed 04,NA,NA,NA,NA,#EA7B24,NA,NA,NA
Unnamed,Continuous,Unnamed 05,NA,NA,NA,NA,#EEEA88,NA,NA,NA